label,token
781,skiing
782,skis
783,skull
784,sky
785,sleeping
786,slow
787,small
788,smile
789,smiling
790,smoke
791,smoothie
792,sneakers
793,snow
794,snowboard
795,snowboarding
796,snowy
797,soap
798,soccer
799,soccer ball
800,soda
801,sony
802,soup
803,south
804,spanish
805,sparrow
806,spinach
807,spoon
808,spring
809,sprinkles
810,square
811,squares
812,stainless steel
813,stairs
814,standing
815,star
816,starbucks
817,stars
818,station
819,statue
820,steak
821,steam
822,steel
823,stick
824,stone
825,stop
826,stop sign
827,store
828,stove
829,straight
830,straw
831,strawberries
832,strawberry
833,street
834,striped
835,stripes
836,stuffed animal
837,stuffed animals
838,subway
839,sugar
840,suit
841,suitcase
842,suitcases
843,summer
844,sun
845,sunglasses
846,sunlight
847,sunny
848,sunset
849,surf
850,surfboard
851,surfboards
852,surfer
853,surfing
854,suv
855,swan
856,sweater
857,swimming
858,swinging
859,t
860,tabby
861,table
862,tag
863,tail
864,taking off
865,taking picture
866,talking
867,talking on phone
868,tall
869,tan
870,tank top
871,tattoo
872,taxi
873,tea
874,teddy bear
875,teddy bears
876,tennis
877,tennis ball
878,tennis court
879,tennis racket
880,tennis rackets
881,terrier
882,texting
883,tie
884,tiger
885,tile
886,toaster oven
887,toilet
888,toilet paper
889,tomato
890,tomatoes
891,toothbrush
892,toothbrushes
893,top
894,towel
895,towels
896,tower
897,toy
898,toyota
899,tracks
900,traffic
901,traffic light
902,train
903,train station
904,transportation
905,trash
906,trash can
907,traveling
908,tray
909,tree
910,trees
911,triangle
912,truck
913,trunk
914,tulips
915,turkey
916,tv
917,twin
918,typing
919,umbrella
920,umbrellas
921,umpire
922,united
923,united states
924,unknown
925,up
926,uphill
927,urban
928,usa
929,van
930,vanilla
931,vase
932,vases
933,vegetable
934,vegetables
935,vertical
936,very
937,very tall
938,vest
939,visor
940,w
941,waiting
942,walking
943,wall
944,warm
945,washington
946,watch
947,watching
948,watching tv
949,water
950,water bottle
951,water skiing
952,watermelon
953,wave
954,waves
955,wedding
956,west
957,wet
958,wetsuit
959,wheat
960,white
961,white and black
962,white and blue
963,white and brown
964,white and red
965,wicker
966,wii
967,wii controller
968,wii remote
969,wild
970,wilson
971,wind
972,window
973,windows
974,wine
975,wine glass
976,winter
977,wire
978,wires
979,woman
980,women
981,wood
982,wooden
983,woods
984,wool
985,work
986,working
987,wristband
988,x
989,yamaha
990,yellow
991,yellow and black
992,yellow and blue
993,yellow and red
994,yellow and white
995,yes
996,young
997,zebra
998,zebras
999,zoo
